DATASET	N_CONFS	ISOMERIC_SMILES	NONISOMERIC_SMILES
gen2-torsion	24	BrCCc1nnn[nH]1	BrCCc1nnn[nH]1
gen2-torsion	24	BrCCc1nnn[nH]1	BrCCc1nnn[nH]1
gen2-torsion	48	BrCCc1nnn[nH]1	BrCCc1nnn[nH]1
gen2-torsion	11	BrCCc1nnn[nH]1	BrCCc1nnn[nH]1
gen2-torsion	11	C#Cc1ccccc1	C#Cc1ccccc1
gen2	7	C#Cc1ccccc1	C#Cc1ccccc1
gen2-torsion	24	C/C(=N\NC(N)=O)C1=CC(C)(C)CCC1	CC(=NNC(N)=O)C1=CC(C)(C)CCC1
gen2-torsion	24	C/C(=N\NC(N)=O)C1=CC(C)(C)CCC1	CC(=NNC(N)=O)C1=CC(C)(C)CCC1
gen2-torsion	24	C/C=C(/C)CC	CC=C(C)CC
gen2-torsion	24	C/C=C(/C)CC	CC=C(C)CC
gen2	80	C1=CC(c2cccc3nonc23)C=CN1	C1=CC(c2cccc3nonc23)C=CN1
gen2-torsion	14	C1=CC(c2cccc3nonc23)C=CN1	C1=CC(c2cccc3nonc23)C=CN1
gen2-torsion	48	C1=CNC(COc2ccccc2)=NC1	C1=CNC(COc2ccccc2)=NC1
gen2-torsion	13	C1=CNC(COc2ccccc2)=NC1	C1=CNC(COc2ccccc2)=NC1
gen2-torsion	48	C1=CNC(COc2ccccc2)=NC1	C1=CNC(COc2ccccc2)=NC1
gen2	99	C1=CNC(COc2ccccc2)=NC1	C1=CNC(COc2ccccc2)=NC1
gen2-torsion	48	C=C(C)C1(CON)CC1	C=C(C)C1(CON)CC1
gen2-torsion	24	C=C(C)C1(CON)CC1	C=C(C)C1(CON)CC1
gen2-torsion	24	C=C(C)C1(CON)CC1	C=C(C)C1(CON)CC1
gen2	1785	C=C(OP(=O)(O)O)C(=O)O	C=C(OP(=O)(O)O)C(=O)O
gen2-torsion	48	C=C(OP(=O)(O)O)C(=O)O	C=C(OP(=O)(O)O)C(=O)O
gen2-torsion	24	C=C(OP(=O)(O)O)C(=O)O	C=C(OP(=O)(O)O)C(=O)O
gen2	126	C=C[C@H](N)c1sccc1C	C=CC(N)c1sccc1C
gen2-torsion	24	C=C[C@H](N)c1sccc1C	C=CC(N)c1sccc1C
gen2-torsion	48	C=NNC(=S)NC	C=NNC(=S)NC
gen2	24	C=NNC(=S)NC	C=NNC(=S)NC
gen2-torsion	24	C=NNC(=S)NC	C=NNC(=S)NC
gen2-torsion	24	C=S(=C)(C)c1ccc(C(C)=O)cc1	C=S(=C)(C)c1ccc(C(C)=O)cc1
gen2-torsion	48	C=S(=C)(C)c1ccc(C(C)=O)cc1	C=S(=C)(C)c1ccc(C(C)=O)cc1
gen2	299	CC(=O)N(c1ccccn1)c1ccccn1	CC(=O)N(c1ccccn1)c1ccccn1
gen2-torsion	24	CC(=O)N(c1ccccn1)c1ccccn1	CC(=O)N(c1ccccn1)c1ccccn1
gen2-torsion	48	CC(=O)NC1(c2nccn2C)CC1	CC(=O)NC1(c2nccn2C)CC1
gen2-torsion	48	CC(=O)NC1(c2nccn2C)CC1	CC(=O)NC1(c2nccn2C)CC1
gen2-torsion	48	CC(=O)NC[C@@H](O)c1ccccc1	CC(=O)NCC(O)c1ccccc1
gen2	374	CC(=O)NC[C@@H](O)c1ccccc1	CC(=O)NCC(O)c1ccccc1
gen2-torsion	24	CC(=O)N[C@@H](C)C(=O)N(C)C	CC(=O)NC(C)C(=O)N(C)C
gen2	303	CC(=O)N[C@@H](C)C(=O)N(C)C	CC(=O)NC(C)C(=O)N(C)C
gen2	477	CC(=O)N[C@H](C)CN1CCN(C)CC1	CC(=O)NC(C)CN1CCN(C)CC1
gen2-torsion	24	CC(=O)N[C@H](C)CN1CCN(C)CC1	CC(=O)NC(C)CN1CCN(C)CC1
gen2-torsion	48	CC(=O)N[C@H](C)CN1CCN(C)CC1	CC(=O)NC(C)CN1CCN(C)CC1
gen2-torsion	24	CC(=O)N[C@H](CO)[C@@H](O)c1ccccc1	CC(=O)NC(CO)C(O)c1ccccc1
gen2-torsion	48	CC(=O)N[C@H](CO)[C@@H](O)c1ccccc1	CC(=O)NC(CO)C(O)c1ccccc1
